#                  t (s)                 x (pxl)                 y (pxl)                       f                       n             x_err (pxl)             y_err (pxl)                   f_err
      32.781600000000196     -0.9974997794361864      0.1019978414631334                1.424453                     1.0                     0.0                     0.0                     0.0
      32.886000000000195                     nan                     nan                     nan                     nan                     nan                     nan                     nan
       32.99040000000019     -0.8898084403118279      0.3048665523640409                1.285465                     1.0                     0.0                     0.0                     0.0
       33.09480000000019                     nan                     nan                     nan                     nan                     nan                     nan                     nan
       33.19920000000019                     nan                     nan                     nan                     nan                     nan                     nan                     nan
       33.30360000000019     -0.7817634962171103     0.18806730169617752                1.445264                     1.0                     0.0                     0.0                     0.0
      33.408000000000186     -0.9398357613099968      0.4491854491820058                1.380966                     1.0                     0.0                     0.0                     0.0
      33.512400000000184      -0.864035048251741      0.4959642944954443                1.457731                     1.0                     0.0                     0.0                     0.0
       33.61680000000018     -0.9035706627058488      0.5097967157850998                1.804719                     1.0                     0.0                     0.0                     0.0
       33.72120000000018     -0.8609204211667149      0.5304072455612598                1.970522                     1.0                     0.0                     0.0                     0.0
       33.82560000000018     -0.9891166538945608      0.4099791049113489                1.592454                     1.0                     0.0                     0.0                     0.0
       33.93000000000018      -0.724130696819299      0.4136391111839454                1.811712                     1.0                     0.0                     0.0                     0.0
      34.034400000000176     -0.8794758256330419     0.45528312005490823                1.479897                     1.0                     0.0                     0.0                     0.0
      34.138800000000174     -0.7954844901111708      0.5795993938056021                1.893654                     1.0                     0.0                     0.0                     0.0
       34.24320000000017     -0.7075343703790777       0.626482845396834                1.853504                     1.0                     0.0                     0.0                     0.0
       34.34760000000017     -1.0395118085926724      0.8224321118744845                1.782823                     1.0                     0.0                     0.0                     0.0
       34.45200000000017     -0.8579871879238241       0.387942674092609                1.782691                     1.0                     0.0                     0.0                     0.0
       34.55640000000017     -0.7270515732421712      0.5923364695217814                2.062758                     1.0                     0.0                     0.0                     0.0
      34.660800000000165      -0.868874494327792     0.30575595358822427                1.939889                     1.0                     0.0                     0.0                     0.0
       34.76520000000016     -1.0238031934779122     0.28963924807358477                2.312654                     1.0                     0.0                     0.0                     0.0
       34.86960000000016     -0.9632056341703161     0.26270781976093377                2.246141                     1.0                     0.0                     0.0                     0.0
       34.97400000000016      -0.896810603475491      0.3404790696161269                2.190788                     1.0                     0.0                     0.0                     0.0
       35.07840000000016     -0.8696008483995765       0.358310552832831                2.494179                     1.0                     0.0                     0.0                     0.0
       35.18280000000016     -0.7824822711409107     0.30613097141604206               1.7277885                     2.0     0.12862754849969718     0.14315045559085138      1.1173504284942801
      35.287200000000155     -0.8378844671776183     0.31660889317664487                1.537279                     2.0     0.14444937514403938     0.16406062244289008      1.0646091848204178
       35.39160000000015     -0.8813915395594399       0.459166611287327                2.465629                     1.0                     0.0                     0.0                     0.0
       35.49600000000015     -0.9337490859798998     0.32038216828753185               1.6207225                     2.0     0.04158644094442475     0.03520789340209112      1.1486533056394514
       35.60040000000015     -0.8952859376051343      0.2866831520109417                2.924534                     1.0                     0.0                     0.0                     0.0
       35.70480000000015      -0.747811980657561      0.2606941395388169               1.7527405                     2.0     0.12981836648313078     0.14604955310372056      1.0911079682411595
      35.809200000000146     -0.8075197371292422      0.3568176945626262                1.810011                     2.0     0.06829507954281902     0.07923485426040267      1.3417002949795063
      35.913600000000145     -0.9036616997877276      0.3711146617324992                3.064144                     1.0                     0.0                     0.0                     0.0
       36.01800000000014     -0.7423886567937906     0.25980646405636637               1.6998555                     2.0     0.14051651393486458     0.16597008905372038      1.0425512395920788
       36.12240000000014     -0.9126563100509615      0.3172785783856309                1.845628                     2.0     0.02981248443363558     0.03488143237456147      1.2928772837759237
       36.22680000000014     -0.7042540008136842     0.23203266299731823                1.857099                     2.0     0.08346960102359191      0.0981646811570594       1.272823272023689
       36.33120000000014      -0.798413323759587     0.19214438229343045               1.7943985                     2.0     0.17134696008027364     0.20230583745147496      1.2710080427200663
      36.435600000000136      -0.907154328412127     0.20520014397116237               1.9725365                     2.0     0.10655514998891438     0.12028538639389091      1.4475491829287992
      36.540000000000134     -0.8550093557202701     0.30329858579760705      1.8403494999999999                     2.0     0.14061162318047005     0.16598038624220485      1.2281973561230533
       36.64440000000013     -0.6934525142948641       0.278646896027473                2.156483                     2.0      0.1332136123846682     0.13637637577283993      1.4408674826881764
       36.74880000000013     -0.7444945213734726      0.2512154455217965               2.0303495                     2.0      0.1945038521501886     0.20621265886256213      1.2344329806670593
       36.85320000000013     -0.9058053956235709     0.33793586716410423               1.9467555                     2.0     0.09067095651394728     0.08224836062134536      1.4395009499724547
       36.95760000000013     -0.9909181160267388     0.32453887954772553                3.723102                     1.0                     0.0                     0.0                     0.0
      37.062000000000126     -0.6914236263371936     0.20897067615068576                2.133485                     2.0     0.17311088234935826     0.18495933407561663       1.535150377399112
      37.166400000000124     -0.7995033862360206     0.22360300845668385                2.001871                     2.0     0.07856836370001488     0.09030308002490663      1.5012098352652523
       37.27080000000012     -0.8945996958695189   -0.034645564653331795      2.0318519999999998                     2.0     0.11368327628354648     0.12071383244576192      1.5016071623839775
       37.37520000000012     -0.9543638808584053      0.2617100144834847                3.380834                     1.0                     0.0                     0.0                     0.0
       37.47960000000012     -0.8073414490960726     0.34769850851703776               2.3653705                     2.0     0.17962878081170353     0.15826911590598727      1.8307245370745255
       37.58400000000012      -0.803811882836494     0.24284649782641143               2.3000445                     2.0     0.10477544485144742     0.11255752035027757      1.6262038098693266
      37.688400000000115     -0.7815693007012697      0.1468611732612241               2.2187305                     2.0     0.11544531388824347     0.12104517846824461      1.6006354428545713
