 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
73,cell_76,869,361.729187012,487.848052979,14.676355998,1,1,YES,2,0,3273.757812500,16609.792968750,83.808197883,68.033711828
74,cell_77,820,488.238830566,418.380523682,14.663130442,1,1,YES,2,0,3048.866210938,14715.913085938,78.050973028,60.276379848
75,cell_78,1026,165.866409302,217.922058105,14.009220123,1,1,YES,2,0,3835.343505859,20781.349609375,98.184791270,85.120407785
76,cell_79,842,218.172988892,269.603881836,12.801741282,1,1,YES,2,0,3128.139160156,15483.425781250,80.080360477,63.420111840
77,cell_80,749,291.965606689,192.770782471,13.541994731,1,1,YES,2,0,2808.011962891,12526.628906250,71.885104434,51.309071870
78,cell_81,833,392.572143555,138.564605713,13.749033610,1,1,YES,2,0,3086.979736328,14892.275390625,79.026679254,60.998759846
79,cell_82,835,440.141326904,153.572891235,12.899559021,1,1,YES,2,0,3124.844482422,14779.770507812,79.996016729,60.537939847
80,cell_83,944,451.412872314,193.320281982,13.716084798,1,1,YES,2,0,3485.561279297,17034.677734375,89.230366496,69.774039824
82,cell_85,881,226.008605957,379.715972900,13.444920858,1,1,YES,2,0,3290.014892578,15726.774414062,84.224379122,64.416867837
83,cell_86,1016,227.649002075,414.449340820,14.133060455,1,1,YES,2,0,3814.737548828,20507.552734375,97.657278783,83.998935788
84,cell_87,877,326.038970947,480.804687500,14.733868917,1,1,YES,2,0,3276.958496094,16443.449218750,83.890135381,67.352367830
86,cell_89,964,165.407592773,495.182525635,14.151220957,1,1,YES,2,0,3604.239746094,18131.193359375,92.268535169,74.265367812
