 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_0,1097,87.931755066,257.484649658,16.618968964,1,1,YES,2,0,4106.129394531,21758.882812500,105.116909845,89.124383775
2,cell_1,783,443.817535400,429.851959229,14.762490590,1,1,YES,2,0,2954.851562500,13082.028320312,75.644198089,53.583987865
3,cell_2,712,136.352249146,120.295143127,14.524472555,1,1,YES,2,0,2654.807128906,11394.066406250,67.963060783,46.670095882
4,cell_3,811,31.636983871,262.626800537,13.958053589,1,1,YES,2,0,3031.777343750,13991.748046875,77.613498039,57.310199855
5,cell_4,632,347.160980225,32.248691559,16.062430064,1,1,YES,2,0,2376.420410156,9955.598632812,60.836360963,40.778131897
6,cell_5,509,247.022994995,209.202285767,14.588315328,1,1,YES,2,0,1893.777465820,7197.677246094,48.480701900,29.481685926
7,cell_6,700,259.760253906,387.171508789,15.010829926,1,1,YES,2,0,2617.358886719,11880.002929688,67.004385807,48.660491877
8,cell_7,649,441.626525879,427.686859131,15.997506460,1,1,YES,2,0,2404.115722656,10036.454101562,61.545360945,41.109315896
9,cell_8,563,76.798065186,467.680999756,14.919363658,1,1,YES,2,0,2076.151123047,8070.746582031,53.149467407,33.057777917
10,cell_9,730,84.289901733,288.514526367,15.280778249,1,1,YES,2,0,2734.627685547,12628.048828125,70.006466981,51.724487869
11,cell_10,709,68.890510559,244.332000732,15.381969452,1,1,YES,2,0,2645.472167969,11716.153320312,67.724085789,47.989363879
12,cell_11,268,63.293575287,109.196990967,12.988896688,1,1,YES,2,0,994.645568848,2800.199218750,25.462925919,11.469615971
1,cell_0,897,206.808959961,346.871734619,15.609321594,1,1,YES,2,0,3357.669677734,17091.484375000,85.956341579,70.006719823
2,cell_1,558,172.523223877,244.202255249,15.115453084,1,1,YES,2,0,2106.101806641,8600.056640625,53.916204888,35.225831911
3,cell_2,548,299.990631104,259.247222900,14.786916097,1,1,YES,2,0,2023.518798828,8150.474121094,51.802079941,33.384341916
4,cell_3,618,359.842224121,84.386253357,15.216835022,1,1,YES,2,0,2312.554687500,9864.162109375,59.201398504,40.403607898
5,cell_4,763,253.156112671,45.396106720,16.133117676,1,1,YES,2,0,2844.815673828,13274.229492188,72.827279410,54.371243863
6,cell_5,793,361.463073730,44.681983948,14.755654653,1,1,YES,2,0,2979.960205078,14348.789062500,76.286979323,58.772639852
7,cell_6,675,294.266876221,211.378219604,14.825616201,1,1,YES,2,0,2534.668212891,11196.878906250,64.887504611,45.862415884
8,cell_7,756,135.871276855,460.124847412,13.748285929,1,1,YES,2,0,2806.347167969,13154.431640625,71.842485685,53.880551864
9,cell_8,714,329.016326904,108.615547180,14.442501068,1,1,YES,2,0,2688.357910156,12445.975585938,68.821960761,50.978715871
10,cell_9,684,151.918548584,305.534790039,14.006766001,1,1,YES,2,0,2585.234619141,11731.260742188,66.182004578,48.051243879
11,cell_10,687,330.714904785,327.138031006,14.359411875,1,1,YES,2,0,2541.386474609,10870.400390625,65.059492106,44.525159888
12,cell_11,678,387.425048828,388.821380615,14.048961639,1,1,YES,2,0,2536.147705078,11363.631835938,64.925379610,46.545435882
13,cell_12,1146,327.832855225,289.756469727,14.626104991,1,1,YES,2,0,4289.072265625,25114.693359375,109.800247226,102.869783740
14,cell_13,851,187.667709351,284.939788818,14.948997498,1,1,YES,2,0,3196.197509766,16014.805664062,81.822654183,65.596643834
15,cell_14,548,389.620605469,417.948150635,13.746526082,1,1,YES,2,0,2030.525634766,7956.381347656,51.981454937,32.589337918
16,cell_15,611,148.808868408,140.472061157,14.198651632,1,1,YES,2,0,2265.860351562,9624.050781250,58.006023535,39.420111900
17,cell_16,745,333.366119385,221.987976074,14.854036967,1,1,YES,2,0,2781.182128906,13199.658203125,71.198260701,54.065799863
18,cell_17,765,274.965270996,239.266998291,15.158042908,1,1,YES,2,0,2894.393066406,13749.972656250,74.096460628,56.319887858
19,cell_18,615,209.604721069,372.095764160,14.201427460,1,1,YES,2,0,2313.198974609,9994.922851562,59.217892254,40.939203897
20,cell_19,671,86.019836426,400.166168213,14.477064768,1,1,YES,2,0,2509.120361328,10662.328125000,64.233479627,43.672895890
21,cell_20,696,149.095535278,431.094482422,14.987436930,1,1,YES,2,0,2592.302001953,11617.266601562,66.362929574,47.584323880
22,cell_21,794,224.352798462,113.437431335,13.978167216,1,1,YES,2,0,2965.356933594,14348.701171875,75.913135582,58.772279852
23,cell_22,653,211.987960815,167.250564575,13.673967997,1,1,YES,2,0,2414.264648438,10474.942382812,61.805173439,42.905363892
24,cell_23,787,114.376914978,140.812683105,14.228003184,1,1,YES,2,0,2934.989746094,13728.386718750,75.135735602,56.231471858
25,cell_24,939,240.551406860,239.666717529,14.455116272,1,1,YES,2,0,3499.163818359,18325.851562500,89.578591487,75.062687810
26,cell_25,1125,461.977416992,378.308227539,15.112623851,1,1,YES,2,0,4188.645019531,24389.107421875,107.229309791,99.897783748
27,cell_27,572,321.805389404,148.851211548,13.881409963,1,1,YES,2,0,2124.245605469,8730.250976562,54.380686126,35.759107910
28,cell_28,681,438.466918945,155.065444946,13.156902313,1,1,YES,2,0,2531.388916016,11170.645507812,64.803554613,45.754963884
29,cell_29,1127,205.759490967,360.177093506,14.390792847,1,1,YES,2,0,4223.918457031,23901.976562500,108.132309768,97.902495753
30,cell_30,896,139.705459595,317.733428955,13.784948985,1,1,YES,2,0,3359.500000000,17427.281250000,86.003197827,71.382143820
31,cell_31,1065,225.277740479,433.150817871,15.242062887,1,1,YES,2,0,3998.123535156,22522.306640625,102.351959914,92.251367767
32,cell_32,732,346.142639160,220.993423462,14.371219635,1,1,YES,2,0,2732.382568359,12614.203125000,69.948991983,51.667775870
33,cell_33,962,214.090896606,246.653289795,15.022937775,1,1,YES,2,0,3560.631103516,19109.861328125,91.152153947,78.273991802
34,cell_34,815,299.128845215,142.259643555,14.689993540,1,1,YES,2,0,3036.927978516,14903.507812500,77.745354286,61.044767846
35,cell_35,710,141.027267456,408.783020020,14.094118754,1,1,YES,2,0,2641.482666016,12022.394531250,67.621954542,49.243727876
36,cell_36,1105,447.074035645,363.171325684,15.085023244,1,1,YES,1,0,4147.124023438,23549.650390625,106.166372318,96.459367756
37,cell_37,741,86.461822510,96.949760437,13.224591573,1,1,YES,2,0,2764.191406250,12790.974609375,70.763298212,52.391831868
38,cell_38,898,441.415863037,314.265594482,14.619851430,1,1,YES,2,0,3353.409179688,17447.443359375,85.847272831,71.464727820
39,cell_39,758,105.117691040,278.070129395,14.245754242,1,1,YES,2,0,2826.015136719,13429.182617188,72.345985672,55.005931861
40,cell_40,831,288.501983643,327.826202393,14.847141266,1,1,YES,2,0,3115.551025391,15581.722656250,79.758104235,63.822735839
41,cell_41,782,274.887573242,236.438995361,14.484369914,1,1,YES,3,4,2936.343750000,14212.966796875,75.170398101,58.216311853
