[cm],Mean
0,302.621612549
1,276.675689697
2,235.270263672
3,282.972961426
4,348.351348877
5,343.864868164
6,245.189193726
7,216.459457397
8,194.513519287
9,232.837844849
10,278.810821533
11,363.324310303
12,397.108093262
13,439.378387451
14,325.324310303
15,377.027038574
16,372.081085205
17,323.567565918
18,397.108093262
19,561.243225098
20,1208.297241211
21,1818.973022461
22,3218.162109375
23,3788.621582031
24,4505.026855469
25,4661.540527344
26,4485.567382812
27,4453.702636719
28,3958.378417969
29,3882.135253906
30,3888.270263672
31,3350.108154297
32,2841.324218750
33,1727.837890625
34,1274.405395508
35,638.702697754
36,444.783782959
37,325.621612549
38,223.405410767
39,444.243255615
40,300.756744385
41,247.162155151
42,257.891906738
43,251.459457397
44,253.000000000
45,279.621612549
