,Time (s),FI (a.u.)
0,14.337600000000002,0.006327780311036927
1,15.5324,0.022360499048082398
2,16.7272,0.0
3,17.922,0.016657140231059322
4,19.1168,0.03946616634553503
5,20.311600000000002,0.0884569725014981
6,21.506400000000003,0.12100611592750646
7,22.7012,0.0624862558428183
8,23.896,0.14648432818884874
9,25.0908,0.12966887055968415
10,26.285600000000002,0.21634932672062998
11,27.480400000000003,0.3370784157517408
12,28.675200000000004,0.4446242559125849
13,29.87,0.4182005980688894
14,31.0648,0.524075448615091
15,32.2596,0.5388241454782594
16,33.4544,0.5672221903424344
17,34.6492,0.7786464482630328
18,35.844,0.8592673773900853
19,37.0388,0.9281474068491906
20,38.2336,0.8604810464580828
21,39.4284,0.8847719849873625
22,40.623200000000004,1.0
23,41.818000000000005,0.9200870775977205
24,43.012800000000006,0.7295017884800857
25,44.207600000000006,0.8454904817232062
26,45.4024,0.6811046191902353
27,46.5972,0.5515984155986235
28,47.792,0.3556571572967409
29,48.9868,0.16369112795507643
30,50.1816,0.10663559332501452
31,51.376400000000004,0.07723495270582388
32,52.571200000000005,0.02998109471292271
33,53.766000000000005,0.006494876293400043
34,54.960800000000006,0.0004353393290069273
35,56.15560000000001,0.02496811593865839
36,57.35040000000001,0.019528601245813116
37,58.5452,0.03489732038036652
38,59.74,0.028112219522684723
