[cm],Mean
0,580.432434082
1,523.648620605
2,443.054046631
3,711.864868164
4,727.081054688
5,1265.729736328
6,943.756774902
7,1322.405395508
8,1422.351318359
9,1294.891845703
10,1414.432373047
11,1476.000000000
12,2293.297363281
13,2056.459472656
14,2186.324218750
15,2069.108154297
16,3001.756835938
17,2719.810791016
18,3162.270263672
19,3062.594482422
20,3161.946044922
21,4072.756835938
22,4321.081054688
23,4550.675781250
24,5086.432617188
25,5506.378417969
26,5390.297363281
27,5735.135253906
28,5495.864746094
29,5590.378417969
30,5913.378417969
31,4235.459472656
32,3207.783691406
33,2443.621582031
34,1880.162109375
35,1371.891845703
36,898.783813477
37,478.324310303
38,441.486480713
39,309.162170410
