[cm],Mean
0,485.810821533
1,584.351379395
2,446.918914795
3,549.297302246
4,689.486511230
5,990.594604492
6,1190.648681641
7,830.972961426
8,1347.243286133
9,1243.891845703
10,1776.648681641
11,2518.675781250
12,3179.675781250
13,3017.270263672
14,3668.000000000
15,3758.648681641
16,3933.189208984
17,5232.648437500
18,5728.162109375
19,6151.513671875
20,5735.621582031
21,5884.918945312
22,6593.135253906
23,6101.973144531
24,4930.594726562
25,5643.486328125
26,4633.135253906
27,3837.162109375
28,2632.864746094
29,1453.000000000
30,1102.324340820
31,921.621643066
32,631.189208984
33,486.837829590
34,449.594604492
35,600.378356934
36,566.945922852
37,661.405395508
38,619.702697754
