[cm],Mean
0,501.837829590
1,207.162155151
2,298.216217041
3,194.351348877
4,271.108093262
5,247.405410767
6,250.918914795
7,253.432434082
8,282.864868164
9,418.486480713
10,202.783782959
11,459.945953369
12,340.081085205
13,524.216186523
14,473.108093262
15,745.216186523
16,931.783813477
17,856.297302246
18,913.513488770
19,1435.216186523
20,1797.783813477
21,1581.324340820
22,2168.243164062
23,2234.027099609
24,2181.378417969
25,2300.675781250
26,2524.243164062
27,2689.594482422
28,2831.081054688
29,3040.567626953
30,3404.351318359
31,3500.918945312
32,3987.108154297
33,4299.162109375
34,3971.405517578
35,4337.892089844
36,3838.594482422
37,3492.216308594
38,3173.972900391
39,2694.459472656
40,2196.783691406
41,860.486511230
42,579.756774902
43,233.270263672
44,364.432434082
45,415.243255615
46,245.459457397
47,328.918914795
48,181.837844849
49,211.810806274
50,162.513519287
51,113.945945740
52,221.648651123
53,125.405403137
54,141.243240356
55,194.675674438
