[cm],Mean
0,247.729736328
1,209.648651123
2,185.513519287
3,258.567565918
4,240.621627808
5,174.567565918
6,137.486480713
7,186.324325562
8,185.081085205
9,265.621612549
10,154.000000000
11,180.351348877
12,259.432434082
13,258.081085205
14,214.702697754
15,192.081085205
16,263.243255615
17,438.351348877
18,382.972961426
19,249.864868164
20,250.027023315
21,326.621612549
22,283.081085205
23,275.891906738
24,298.756744385
25,329.216217041
26,500.594604492
27,509.783782959
28,939.621643066
29,1509.189208984
30,2148.918945312
31,2695.243164062
32,3107.946044922
33,3587.405517578
34,3571.351318359
35,3705.513427734
36,2803.351318359
37,3012.810791016
38,2722.405517578
39,2266.540527344
40,1580.729736328
41,949.216186523
42,282.351348877
43,196.432434082
44,355.675689697
45,270.783782959
46,353.756744385
47,260.081085205
48,231.648651123
49,319.837829590
50,333.621612549
