,Time (s),FI (a.u.)
0,5.974,0.02929225526462368
1,7.168800000000001,0.02437980317063905
2,8.3636,0.06144075511718844
3,9.5584,0.0
4,10.753200000000001,0.0406680960203446
5,11.948,0.04511737417295341
6,13.142800000000001,0.03012737251680059
7,14.337600000000002,0.05898452510820089
8,15.5324,0.016281272060943815
9,16.7272,0.017979577833450097
10,17.922,0.024576302046927314
11,19.1168,0.015067194671588806
12,20.311600000000002,0.03169935560207758
13,21.506400000000003,0.0431032636638259
14,22.7012,0.05165093902374867
15,23.896,0.03944700180435292
16,25.0908,0.01135478235208008
17,26.285600000000002,0.01621811269852153
18,27.480400000000003,0.023348187042173875
19,28.675200000000004,0.042176915781074235
20,29.87,0.02595178625591604
21,31.0648,0.036085478354129494
22,32.2596,0.07058493600810288
23,33.4544,0.13625040309584413
24,34.6492,0.3402645817447738
25,35.844,0.5927646589952764
26,37.0388,0.73171693649669
27,38.2336,0.9526720243656213
28,39.4284,1.0
29,40.623200000000004,0.9760903955211042
30,41.818000000000005,0.975107928874798
31,43.012800000000006,0.6947893002912562
32,44.207600000000006,0.6077616972884317
33,45.4024,0.5567633865210946
34,46.5972,0.42204288536159223
35,47.792,0.2486052234799504
36,48.9868,0.16774624695764115
37,50.1816,0.006294957091475439
38,51.376400000000004,0.07801677351163196
39,52.571200000000005,0.07680971294865396
