[cm],Mean
0,252.567565918
1,233.648651123
2,376.378387451
3,139.756759644
4,296.378387451
5,313.513519287
6,255.783782959
7,366.918914795
8,202.459457397
9,209.000000000
10,234.405410767
11,197.783782959
12,261.837829590
13,305.756744385
14,338.675689697
15,291.675689697
16,183.486480713
17,202.216217041
18,229.675674438
19,302.189178467
20,239.702697754
21,278.729736328
22,411.594604492
23,664.486511230
24,1450.189208984
25,2422.621582031
26,2957.756835938
27,3808.702636719
28,3990.972900391
29,3898.891845703
30,3895.108154297
31,2815.540527344
32,2480.378417969
33,2283.972900391
34,1765.135131836
35,1097.189208984
36,785.783813477
37,164.000000000
38,440.216217041
39,435.567565918
