[cm],Mean
0,360.594604492
1,241.081085205
2,297.783782959
3,315.000000000
4,478.729736328
5,499.837829590
6,372.189178467
7,365.027038574
8,424.405395508
9,660.216186523
10,801.324340820
11,967.027038574
12,874.864868164
13,1091.026977539
14,1514.945922852
15,980.729736328
16,1295.108154297
17,1878.324340820
18,2036.783813477
19,1721.081054688
20,2178.108154297
21,2375.216308594
22,2650.594482422
23,2268.864746094
24,3261.432373047
25,3446.594482422
26,3448.918945312
27,3455.891845703
28,3744.675781250
29,4304.594726562
30,4526.648437500
31,5740.729492188
32,6080.216308594
33,6288.432617188
34,6331.513671875
35,5565.324218750
36,5103.324218750
37,4684.243164062
38,4870.351562500
39,3705.729736328
40,3115.189208984
41,2377.972900391
42,1352.594604492
43,582.216186523
44,476.675689697
45,419.000000000
46,550.459472656
47,536.648620605
48,401.486480713
49,578.864868164
50,439.918914795
