GFP_start,GFP_end
2,6
6,13
14,21
27,31
32,39
40,47
55,60
61,67
73,81
90,96
107,112
113,121
119,126
126,130
136,142
146,151
157,162
177,184
191,196
194,201
218,226
233,238
251,257
259,266
274,276
289,293
290,296
298,305
316,321
325,329
356,361
377,383
4,8
6,8
12,17
29,34
39,45
46,51
66,70
77,83
80,86
93,102
129,135
134,140
142,147
154,160
174,179
182,187
189,195
222,227
235,241
242,249
255,258
263,267
310,315
314,320
326,332
325,329
329,335
337,343
343,347
367,372
373,379
387,391
