RFP_start,RFP_end
2,9
2,9
7,13
7,11
16,22
18,22
32,41
42,46
59,64
73,85
82,92
107,110
101,106
102,108
113,121
121,129
136,142
142,145
141,147
145,149
154,159
156,162
180,187
182,188
182,186
191,199
199,203
197,201
209,217
236,244
248,252
274,281
286,294
322,327
339,343
375,378
9,14
26,42
50,56
73,82
92,96
92,99
107,112
116,121
138,149
208,215
213,216
220,226
234,244
270,276
287,291
325,334
333,343
355,362
368,372
379,385
392,398
