Fim1-GFP_start,Fim1-GFP_end
5,11
14,26
30,36
41,50
55,61
112,117
114,120
121,129
135,146
153,162
250,258
280,288
341,349
348,356
11,21
19,25
60,69
77,84
96,102
106,112
115,121
149,158
154,162
182,189
184,191
196,205
247,251
261,267
265,272
297,300
300,307
307,316
331,339
355,361
367,372
380,388
43,52
56,63
61,68
63,73
76,85
96,105
109,118
107,120
124,130
141,149
185,193
205,212
231,240
248,257
262,272
280,289
288,296
292,299
329,339
345,351
351,358
362,372
367,376
