Fim1-RFP_start,Fim1-RFP_end
11,17
31,38
45,54
55,62
128,136
143,150
157,164
194,202
222,229
250,256
288,297
365,374
8,15
16,23
46,53
55,63
71,76
77,93
95,102
106,113
128,134
154,162
159,165
175,180
206,213
212,220
240,247
271,277
275,281
283,290
302,308
314,321
324,330
336,343
355,363
358,366
377,385
390,398
13,21
48,58
103,112
108,115
143,148
155,160
216,223
224,232
236,246
251,257
294,301
307,316
322,330
333,342
356,361
391,397
