 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_149,1181,36.596538544,122.494392395,8.412448883,1,1,YES,2,0,4428.800292969,23087.658203125,113.377284636,94.567047761
2,cell_150,597,87.156227112,108.215797424,8.287971497,1,1,YES,2,0,2215.850097656,9328.823242188,56.725761067,38.210859904
3,cell_151,643,229.472351074,342.444946289,9.320529302,1,1,YES,2,0,2428.728271484,10406.887695312,62.175442179,42.626611892
4,cell_152,515,399.101440430,331.265075684,8.153970718,1,1,YES,2,0,1915.969970703,7116.455566406,49.048830011,29.149001926
5,cell_153,1027,324.987548828,479.471954346,9.880560557,1,1,YES,2,0,3842.950195312,17080.105468750,98.379522515,69.960111823
6,cell_154,748,44.621749878,390.309295654,7.302719116,1,1,YES,2,0,2808.402587891,11880.522460938,71.895104434,48.662619877
7,cell_155,598,450.185760498,67.239074707,7.835024516,1,1,YES,2,0,2233.070312500,8676.073242188,57.166598556,35.537195910
8,cell_156,358,472.484466553,476.416595459,7.194671631,1,1,YES,2,0,1314.775024414,4015.037109375,33.658239775,16.445591958
1,cell_117,920,124.802253723,20.478065491,9.564743678,1,1,YES,2,0,3430.003417969,16894.285156250,87.808085282,69.198991825
2,cell_118,509,285.606109619,80.804740906,8.393115997,1,1,YES,2,0,1903.300659180,7462.469726562,48.724495644,30.566275923
3,cell_119,247,161.379241943,22.195981979,7.715735753,1,1,YES,2,0,918.175476074,2472.139892578,23.505291594,10.125884974
4,cell_120,664,203.083374023,131.188354492,7.989029566,1,1,YES,2,0,2488.900878906,10473.991210938,63.715860890,42.901467892
5,cell_121,434,408.853698730,20.811161041,8.509667079,1,1,YES,2,0,1620.293212891,5610.956542969,41.479505202,22.982477942
6,cell_122,671,271.727844238,334.545288086,4.824138323,1,1,YES,2,0,2475.931884766,7761.457519531,63.383854649,31.790929920
7,cell_123,483,162.117065430,361.792236328,6.833363851,1,1,YES,2,0,1776.465332031,5950.864257812,45.477511351,24.374739938
8,cell_124,637,376.957946777,69.776931763,9.153507233,1,1,YES,2,0,2392.616699219,10226.386718750,61.250985953,41.887279894
9,cell_125,434,437.783813477,29.960691452,7.981309255,1,1,YES,2,0,1633.187377930,5855.350585938,41.809595819,23.983515939
10,cell_126,367,463.355194092,140.650344849,8.337197622,1,1,YES,2,0,1366.234741211,4404.554199219,34.975608491,18.041053954
11,cell_127,468,488.709625244,170.970657349,7.759183884,1,1,YES,2,0,1749.959472656,6564.135253906,44.798961368,26.886697932
12,cell_129,399,460.805969238,269.317657471,8.040161133,1,1,YES,2,0,1475.362304688,5011.894531250,37.769274046,20.528719948
13,cell_130,658,365.746582031,332.299377441,9.864640554,1,1,YES,2,0,2432.168457031,10625.986328125,62.263510927,43.524039890
14,cell_131,476,381.549224854,367.463562012,8.373672485,1,1,YES,2,0,1779.414428711,6633.662109375,45.553008224,27.171479931
15,cell_132,559,279.593597412,312.014770508,8.606668472,1,1,YES,2,0,2092.153564453,8549.099609375,53.559129897,35.017111912
16,cell_133,655,279.182525635,218.181823730,8.187407811,1,1,YES,2,0,2426.114257812,9417.497070312,62.108523431,38.574067903
17,cell_134,566,360.482604980,215.440689087,8.583779017,1,1,YES,2,0,2114.318847656,8303.923828125,54.126561133,34.012871914
18,cell_135,537,233.441925049,204.689315796,8.292683919,1,1,YES,2,0,1999.176635742,7913.993164062,51.178920582,32.415715918
19,cell_136,526,163.499130249,226.174652100,8.601062139,1,1,YES,2,0,1945.373168945,7629.357910156,49.801551867,31.249849921
20,cell_137,447,187.509582520,325.385620117,7.998187383,1,1,YES,2,0,1644.841430664,5769.139648438,42.107939561,23.630395940
21,cell_138,505,167.164855957,151.293167114,9.261499405,1,1,YES,2,0,1871.561035156,6850.340820312,47.911961290,28.058995929
22,cell_139,507,277.691589355,80.395332336,8.029047012,1,1,YES,2,0,1891.759277344,7208.148437500,48.429036277,29.524575925
23,cell_140,614,191.890350342,31.230621338,7.962145487,1,1,YES,2,0,2280.475097656,9403.111328125,58.380161025,38.515143903
24,cell_141,831,57.035926819,16.646148682,8.000258764,1,1,YES,2,0,3099.778564453,13637.591796875,79.354329245,55.859575859
25,cell_142,570,45.653350830,54.026645660,8.131254832,1,1,YES,2,0,2128.539550781,8683.153320312,54.490611123,35.566195910
26,cell_143,607,110.474143982,74.997558594,9.118733724,1,1,YES,2,0,2289.703857422,9694.909179688,58.616417269,39.710347900
27,cell_144,831,42.202705383,142.191284180,8.973728180,1,1,YES,2,0,3136.183837891,14517.371093750,80.286304222,59.463151850
28,cell_145,696,80.052963257,227.581634521,8.801638285,1,1,YES,2,0,2579.094726562,11511.943359375,66.024823332,47.152919881
29,cell_146,634,59.160205841,260.267333984,8.538365046,1,1,YES,2,0,2364.475341797,9331.900390625,60.530567221,38.223463903
30,cell_147,479,113.983673096,214.993453979,7.461779277,1,1,YES,2,0,1787.563110352,6017.894042969,45.761614469,24.649293938
31,cell_148,543,53.574344635,370.527618408,9.456077576,1,1,YES,2,0,2030.729248047,7979.813476562,51.986667437,32.685315917
