 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_23,427,274.830474854,137.395294189,7.618573507,1,1,YES,2,0,1578.903198242,5591.222167969,40.419920854,22.901645942
2,cell_24,503,301.635162354,113.927139282,8.008544286,1,1,YES,2,0,1859.555053711,7120.747070312,47.604608172,29.166579926
3,cell_25,459,403.378204346,172.117889404,8.081966400,1,1,YES,2,0,1712.606933594,6227.219238281,43.842736392,25.506689936
4,cell_28,373,432.424163818,346.980407715,7.715530396,1,1,YES,2,0,1393.694335938,4477.983398438,35.678574099,18.341819954
5,cell_30,490,496.940979004,438.670837402,8.380448023,1,1,YES,2,0,1836.823364258,6980.384277344,47.022676937,28.591653928
6,cell_31,467,88.719360352,490.925964355,7.746779760,1,1,YES,2,0,1732.785156250,6301.843750000,44.359298879,25.812351935
7,cell_32,587,92.883689880,324.798614502,8.596289953,1,1,YES,2,0,2174.725830078,9087.380859375,55.672979844,37.221911906
8,cell_33,410,85.100730896,122.734573364,7.552205404,1,1,YES,2,0,1543.117675781,5440.545898438,39.503811502,22.284475944
9,cell_34,564,148.465606689,86.330795288,7.190979640,1,1,YES,2,0,2109.371826172,8450.670898438,53.999917386,34.613947913
10,cell_35,459,230.634445190,226.125122070,6.374984741,1,1,YES,2,0,1697.398925781,6259.116699219,43.453411402,25.637341935
11,cell_37,607,117.083412170,416.092956543,8.874772390,1,1,YES,2,0,2260.266845703,9471.360351562,57.862829788,38.794691902
12,cell_38,400,447.904327393,151.141052246,6.818066279,1,1,YES,2,0,1497.479370117,5156.070800781,38.335470907,21.119265947
13,cell_39,547,446.882446289,452.508117676,7.309020360,1,1,YES,2,0,2038.015258789,8234.079101562,52.173189307,33.726787915
14,cell_40,471,146.383209229,76.338180542,7.486017227,1,1,YES,2,0,1773.723754883,6756.458007812,45.407326978,27.674451930
15,cell_41,511,231.711395264,110.387283325,8.967288335,1,1,YES,2,0,1912.780761719,7415.970703125,48.967186263,30.375815923
16,cell_42,357,324.221832275,210.174789429,7.925473531,1,1,YES,2,0,1323.349365234,4126.549316406,33.877742894,16.902345957
17,cell_43,467,67.594291687,192.939682007,8.138760885,1,1,YES,2,0,1745.128662109,6272.699218750,44.675292621,25.692975935
18,cell_44,387,58.619949341,318.275756836,7.428400040,1,1,YES,2,0,1440.174072266,4839.925292969,36.868455319,19.824333950
19,cell_45,455,108.722877502,395.631744385,7.991243362,1,1,YES,2,0,1674.418579102,6056.192871094,42.865114542,24.806165937
20,cell_46,322,421.678955078,417.828643799,7.409193039,1,1,YES,2,0,1193.682617188,3715.333007812,30.558274228,15.218003962
21,cell_47,447,487.076263428,351.938903809,7.560540517,1,1,YES,2,0,1680.946777344,6128.979492188,43.032236413,25.104299937
22,cell_48,427,148.775909424,374.518127441,7.933130900,1,1,YES,2,0,1615.541625977,5846.922851562,41.357864580,23.948995940
23,cell_49,345,176.061935425,365.119842529,8.154382070,1,1,YES,2,0,1281.058227539,4076.282226562,32.795089797,16.696451958
24,cell_50,356,234.635314941,303.715728760,8.376689275,1,1,YES,2,0,1323.903564453,4207.218750000,33.891930394,17.232767956
25,cell_51,428,361.382446289,358.051849365,8.987389882,1,1,YES,1,0,1608.894653320,5658.507324219,41.187702085,23.177245941
26,cell_52,356,258.961669922,63.407688141,7.597059886,1,1,YES,2,0,1318.861694336,4081.911865234,33.762858522,16.719510958
