 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_60,868,321.874450684,295.979675293,6.864973068,1,1,YES,2,0,3223.909667969,15595.294921875,82.532085415,63.878327839
2,cell_61,862,398.281311035,150.645477295,7.349090576,1,1,YES,2,0,3208.355468750,16343.519531250,82.133897925,66.943055831
1,cell_56,695,143.510528564,139.405120850,8.405965805,1,1,YES,2,0,2608.178466797,11655.755859375,66.769367063,47.741975879
2,cell_57,1295,119.277221680,62.863880157,9.238897324,1,1,YES,2,0,4807.464355469,27198.150390625,123.071084391,111.403623719
3,cell_58,566,419.906524658,135.218963623,9.660526276,1,1,YES,2,0,2114.456298828,8587.872070312,54.130079883,35.175923911
4,cell_59,602,250.492523193,437.268005371,8.144669215,1,1,YES,2,0,2237.448974609,9293.388671875,57.278692303,38.065719904
1,cell_52,1480,388.164825439,209.082046509,12.196230570,1,1,YES,2,0,5542.819824219,34636.636718750,141.896183915,141.871663642
2,cell_53,1054,427.041656494,256.637725830,12.797528585,1,1,YES,2,0,3962.108886719,21982.199218750,101.429984938,90.039087773
3,cell_54,1218,441.047729492,475.588256836,14.100404104,1,1,YES,2,0,4551.534179688,26819.599609375,116.519272056,109.853079723
4,cell_55,1076,176.889633179,462.963409424,13.446180979,1,1,YES,2,0,3997.970458984,22314.634765625,102.348041164,91.400743769
1,cell_47,918,61.073608398,66.847923279,12.463776906,1,1,YES,2,0,3405.846191406,17136.302734375,87.189660297,70.190295823
2,cell_48,1004,324.617065430,121.137443542,13.764994303,1,1,YES,2,0,3766.701660156,20026.542968750,96.427560064,82.028719793
3,cell_49,1157,66.715476990,440.145935059,11.190937042,1,1,YES,2,0,4321.945800781,21225.449218750,110.641809705,86.939439780
4,cell_50,2781,86.577194214,467.776031494,15.638177236,1,1,YES,2,0,10363.581054688,54220.988281250,265.307668298,222.089167439
5,cell_51,607,443.483306885,156.932403564,11.618488312,1,1,YES,2,0,2234.281982422,9307.862304688,57.197617305,38.125003904
1,cell_43,986,191.367279053,112.280143738,12.834576925,1,1,YES,2,0,3685.646484375,19535.136718750,94.352547616,80.015919798
2,cell_44,658,143.634338379,134.398178101,11.185619990,1,1,YES,2,0,2463.096679688,10739.566406250,63.055273407,43.989263889
3,cell_45,1138,377.783416748,390.272308350,14.064160665,1,1,YES,2,0,4272.071777344,19617.478515625,109.365034737,80.353191797
4,cell_46,898,429.599761963,414.420104980,14.255327861,1,1,YES,2,0,3358.996337891,16906.597656250,85.990304078,69.249423825
