 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_42,1395,375.539550781,338.913635254,10.245814641,1,1,YES,2,0,5218.908203125,30154.791015625,133.604046625,123.514023688
1,cell_37,1319,206.249023438,190.451461792,11.642364502,1,1,YES,2,0,4924.455566406,28584.259765625,126.066059315,117.081127704
2,cell_38,682,238.724960327,224.373687744,10.727886836,1,1,YES,2,0,2567.126220703,11478.484375000,65.718429590,47.015871881
3,cell_39,744,49.500022888,337.652008057,10.301859538,1,1,YES,2,0,2767.107910156,13065.885742188,70.837960710,53.517867865
4,cell_40,1014,180.614746094,410.728698730,11.967480977,1,1,YES,2,0,3786.919189453,20575.394531250,96.945128801,84.276815787
5,cell_41,768,463.153594971,258.861785889,13.855052948,1,1,YES,2,0,2883.874267578,12819.612304688,73.827179385,52.509131867
1,cell_32,510,173.389999390,159.504821777,10.457495372,1,1,YES,2,0,1901.130493164,7376.582031250,48.668939396,30.214479924
2,cell_33,950,84.824501038,208.122497559,11.998527527,1,1,YES,2,0,3586.436035156,17932.515625000,91.812760181,73.451583815
3,cell_34,824,281.195556641,263.718170166,11.565907160,1,1,YES,2,0,3079.944824219,15054.736328125,78.846585508,61.664199844
4,cell_35,995,322.940399170,252.640960693,11.112366994,1,1,YES,2,4,3727.399658203,19535.675781250,95.421428839,80.018127798
5,cell_36,991,130.076599121,425.153900146,11.531276067,1,1,YES,2,0,3712.384033203,19964.193359375,95.037028849,81.773335794
1,cell_25,841,151.790069580,80.994827271,8.919195811,1,1,YES,2,0,3116.619384766,14917.462890625,79.785454234,61.101927846
2,cell_26,777,70.248085022,141.300277710,8.540854136,1,1,YES,2,0,2870.697021484,13629.565429688,73.489841893,55.826699859
3,cell_27,374,285.937530518,286.609832764,8.180427551,1,1,YES,2,0,1388.601318359,4402.948730469,35.548192852,18.034477954
4,cell_28,940,276.288238525,397.324798584,9.411277135,1,1,YES,2,0,3495.604492188,18103.552734375,89.487472739,74.152151813
5,cell_29,1052,177.233871460,431.997344971,8.712689718,1,1,YES,2,0,3927.124023438,21645.109375000,100.534372460,88.658367776
6,cell_30,482,452.117523193,320.374969482,7.436902364,1,1,YES,2,0,1783.860717773,6456.620605469,45.666833221,26.446317933
7,cell_31,659,449.845397949,220.817886353,8.574966431,1,1,YES,2,0,2451.547851562,10156.038085938,62.759623415,41.599131895
1,cell_21,1221,490.618255615,30.632726669,11.446720123,1,1,YES,2,0,4590.708984375,26506.869140625,117.522147031,108.572135726
2,cell_22,899,492.213287354,231.811050415,11.409109751,1,1,YES,2,0,3369.546142578,17242.091796875,86.260379071,70.623607822
3,cell_23,1527,143.712478638,331.068084717,13.447413127,1,1,YES,2,0,5712.939941406,35382.062500000,146.251258805,144.924927634
4,cell_24,751,294.595062256,483.128631592,11.599782944,1,1,YES,2,0,2814.633789062,13353.377929688,72.054623180,54.695435862
