0,5,10,15,30,45
10.609531022,197.841663148,209.952880663,234.619308526,211.467762766,208.77215408
12.517013581,125.955604557,162.931872026,203.534344249,201.14269837,171.104643623
12.129841975,219.12387894,194.528172787,218.457509265,202.096224224,183.572604628
17.157280837,164.699231458,171.386875687,231.800643591,202.169923447,251.959551687
19.465299304,97.105545654,241.96235639,213.553928715,223.832707192,243.596884344
10.916719055,111.592170595,219.540517118,252.566034078,270.474577953,233.533649657
13.56853969,150.88862405,220.224438866,295.2698249,229.831345772,195.290452341
15.261987988,86.550168018,190.473723486,268.010399815,199.665431898,231.94901828
14.304223762,93.76963149,191.186217102,323.743746613,190.676358403,219.617688762
10.843618176,150.873132761,161.397272741,295.282747172,213.908318335,206.519978342
12.138163364,116.002982249,216.192697425,192.434792854,227.486250954,182.206983398
9.168931649,121.380125069,183.617244017,163.574747539,185.862537345,131.096241491
16.105761778,155.332190958,274.963573947,175.474710909,191.721927524,164.429521428
13.567573068,169.199462256,210.466340427,185.959540728,212.494926319,150.891397963
15.694222666,165.211097149,214.410623998,168.768385916,177.321822931,221.4863717
13.731538223,167.199112824,224.472826966,162.88451107,157.782587959,217.706714364
28.382413628,159.036791158,225.619415107,166.977752675,203.937647504,144.892606938
21.030869463,143.57432007,203.307933809,183.204893026,269.453673159,221.621381858
16.812739774,170.007280779,174.628279214,147.886772132,169.935184954,201.767262142
23.088077663,218.37462628,227.478569097,187.97131824,191.952900312,210.524119755
19.330450653,,,,228.909734289,
