[cm],Mean
0,263.027038574
1,274.189178467
2,182.621627808
3,241.756759644
4,351.243255615
5,250.594589233
6,383.324310303
7,294.486480713
8,373.675689697
9,241.027023315
10,338.810821533
11,315.621612549
12,486.513519287
13,526.486511230
14,546.675659180
15,379.243255615
16,472.027038574
17,848.594604492
18,1687.648681641
19,1936.297241211
20,2023.459472656
21,1582.054077148
22,695.216186523
23,443.162170410
24,452.189178467
25,390.135131836
26,290.945953369
