,Time (s),FI (a.u.)
0,17.904,0.021928410283331142
1,19.0976,0.05984784242476007
2,20.2912,0.0691038217357103
3,21.4848,0.047273246737360386
4,22.6784,0.08519268737570018
5,23.872,0.04662608425497865
6,25.0656,0.05412870128933788
7,26.2592,0.19405209050014946
8,27.4528,0.3333584223540145
9,28.6464,0.4151120813484353
10,29.84,0.4815369547724132
11,31.0336,0.5469459182874764
12,32.227199999999996,0.8681360494383344
13,33.4208,0.9011716450910987
14,34.6144,1.0
15,35.808,0.5721477575196379
16,37.001599999999996,0.11794983398469396
17,38.1952,0.0
18,39.3888,0.061977463539370364
19,40.5824,0.06255691285602781
20,41.775999999999996,0.07229450619865421
