,Time (s),FI (a.u.)
0,17.904,0.02483584363462579
1,19.0976,0.10207399770544885
2,20.2912,0.07777685150437397
3,21.4848,0.024157820666287258
4,22.6784,0.06741155610340802
5,23.872,0.05301532181294056
6,25.0656,0.021520063710592233
7,26.2592,0.07092238128842983
8,27.4528,0.021668670622510277
9,28.6464,0.09609257474402111
10,29.84,0.08401832083046457
11,31.0336,0.023758448766836734
12,32.227199999999996,0.3845003326454774
13,33.4208,1.0
14,34.6144,0.7567499708213227
15,35.808,0.9872105346841212
16,37.001599999999996,0.8476134175658261
17,38.1952,0.4193578299957399
18,39.3888,0.3411351367808015
19,40.5824,0.0775075027874267
20,41.775999999999996,0.0
