[cm],Mean
0,270.270263672
1,300.783782959
2,230.864868164
3,290.297302246
4,257.837829590
5,350.648651123
6,307.324310303
7,271.378387451
8,501.189178467
9,758.108093262
10,1291.324340820
11,2253.783691406
12,1662.351318359
13,2014.189208984
14,3040.675781250
15,3382.189208984
16,2970.459472656
17,2442.324218750
18,1177.351318359
19,616.297302246
20,281.945953369
21,330.648651123
22,211.648651123
