[cm],Mean
0,309.135131836
1,303.459472656
2,264.864868164
3,314.513519287
4,386.378387451
5,406.054046631
6,526.648620605
7,473.297302246
8,293.351348877
9,345.297302246
10,393.351348877
11,330.405395508
12,349.351348877
13,379.351348877
14,1571.837890625
15,3512.729736328
16,4384.702636719
17,4341.540527344
18,2561.702636719
19,1413.189208984
20,646.837829590
21,357.621612549
22,151.270263672
