[cm],Mean
0,937.540527344
1,844.405395508
2,788.621643066
3,707.324340820
4,829.378356934
5,1300.026977539
6,1849.135131836
7,1573.026977539
8,1670.297241211
9,2186.864746094
10,2439.243164062
11,2133.648681641
12,3317.810791016
13,2472.108154297
14,2165.351318359
15,682.054077148
16,348.675689697
17,339.864868164
18,527.621643066
19,336.918914795
20,358.594604492
