[cm],Mean
0,293.648651123
1,95.486488342
2,186.351348877
3,137.189193726
4,159.378372192
5,141.513519287
6,275.648651123
7,210.891891479
8,220.729736328
9,182.189193726
10,172.864868164
11,261.000000000
12,192.297302246
13,285.648651123
14,238.972976685
15,289.810821533
16,313.000000000
17,334.081085205
18,200.540542603
19,327.243255615
20,334.486480713
21,219.324325562
22,338.405395508
23,352.864868164
24,555.918945312
25,434.000000000
26,294.189178467
27,365.837829590
28,328.108093262
29,363.783782959
30,326.621612549
31,327.324310303
32,363.243255615
33,331.621612549
34,359.675689697
35,278.513519287
36,353.297302246
37,394.702697754
38,479.162170410
39,405.324310303
40,488.540527344
41,367.351348877
42,408.405395508
43,296.918914795
44,390.783782959
45,492.729736328
46,512.783813477
47,502.864868164
48,373.621612549
49,507.513519287
50,392.810821533
51,363.297302246
52,424.648651123
53,419.702697754
54,587.837829590
55,521.486511230
56,440.162170410
57,431.297302246
58,561.324340820
59,658.756774902
60,479.513519287
61,468.945953369
62,684.108093262
63,733.567565918
64,432.918914795
65,512.567565918
66,436.405395508
67,587.540527344
68,584.405395508
69,530.000000000
70,474.918914795
71,530.621643066
72,663.837829590
73,600.702697754
74,563.108093262
75,604.270263672
76,582.783813477
77,847.621643066
78,648.189208984
79,601.648620605
80,538.189208984
81,805.216186523
82,982.054077148
83,738.513488770
84,759.216186523
85,681.324340820
86,702.432434082
87,807.810791016
88,552.459472656
89,674.216186523
90,721.486511230
91,799.540527344
92,568.891906738
93,780.081054688
94,737.729736328
95,630.567565918
96,951.891906738
97,812.081054688
98,644.837829590
99,892.270263672
100,905.135131836
101,823.594604492
102,944.729736328
103,830.270263672
104,923.648620605
105,903.891906738
106,1138.513549805
107,881.486511230
108,1155.837890625
109,1050.675659180
110,1035.432373047
111,974.324340820
112,1150.270263672
113,1302.621582031
114,1356.189208984
115,1266.675659180
116,1464.486450195
117,1268.675659180
118,1220.108154297
119,1192.513549805
120,1275.891845703
121,1044.135131836
122,961.054077148
123,1085.756713867
124,1235.729736328
125,1158.513549805
126,1422.675659180
127,1270.378417969
128,1371.973022461
129,1341.378417969
130,1570.459472656
131,1622.540527344
132,1902.810791016
133,1465.351318359
134,1477.081054688
135,1366.108154297
136,1366.324340820
137,1258.270263672
138,1527.729736328
139,1537.351318359
140,1302.810791016
141,1450.054077148
142,1351.189208984
143,1571.621582031
144,1689.973022461
145,1483.783813477
146,1279.729736328
147,1256.000000000
148,1362.351318359
149,1468.486450195
150,1566.270263672
151,1467.297241211
152,1379.243286133
153,1254.135131836
154,1591.837890625
155,1382.324340820
156,1645.540527344
157,1648.324340820
158,1971.810791016
159,1612.810791016
160,1611.540527344
161,1486.297241211
162,1699.783813477
163,1271.540527344
164,1352.054077148
165,1570.891845703
166,1683.081054688
167,1587.729736328
168,1433.297241211
169,1560.918945312
170,1333.459472656
171,1227.054077148
172,724.162170410
173,591.405395508
174,352.270263672
175,334.513519287
176,263.054046631
177,302.972961426
178,235.837844849
179,203.459457397
180,359.216217041
