[cm],Mean
0,449.432434082
1,312.567565918
2,196.675674438
3,150.540542603
4,219.918914795
5,213.837844849
6,371.783782959
7,289.540527344
8,176.621627808
9,298.297302246
10,235.513519287
11,343.162170410
12,602.378356934
13,791.945922852
14,688.918945312
15,282.540527344
16,219.540542603
17,259.459472656
18,213.135131836
19,206.162155151
20,182.324325562
21,183.702697754
22,151.864868164
23,223.945953369
24,154.189193726
25,197.054046631
26,137.594589233
27,278.297302246
28,216.891891479
29,176.297302246
30,276.864868164
31,161.891891479
32,151.567565918
33,224.864868164
34,186.540542603
35,237.756759644
36,187.459457397
37,300.405395508
38,182.054046631
39,269.972961426
40,242.108108521
41,256.891906738
42,251.162155151
43,142.567565918
44,261.297302246
45,209.135131836
46,200.081085205
47,129.081085205
48,138.918914795
49,111.027023315
50,107.405403137
51,146.027023315
52,182.837844849
53,167.405410767
54,182.351348877
55,342.270263672
56,218.135131836
57,403.648651123
58,376.810821533
59,243.486480713
60,389.351348877
61,272.297302246
62,331.054046631
63,279.189178467
64,277.000000000
65,364.081085205
66,278.027038574
67,254.243240356
68,243.486480713
69,213.459457397
70,316.027038574
71,229.189193726
72,321.054046631
73,278.702697754
74,383.756744385
75,233.054046631
76,150.972976685
77,286.000000000
78,210.648651123
79,255.783782959
80,250.027023315
81,248.135131836
82,202.594589233
83,252.864868164
84,201.918914795
85,268.783782959
86,277.189178467
87,310.378387451
88,290.108093262
89,311.621612549
90,225.621627808
91,252.594589233
92,315.648651123
93,220.351348877
94,237.432434082
95,244.783782959
96,166.054046631
97,167.297302246
98,234.027023315
99,279.945953369
100,221.783782959
101,236.540542603
102,208.189193726
103,307.756744385
104,359.783782959
105,475.351348877
106,434.351348877
107,287.972961426
108,272.162170410
109,364.891906738
110,353.054046631
111,348.513519287
112,451.945953369
113,423.675689697
114,336.945953369
115,405.324310303
116,417.054046631
117,406.567565918
118,281.135131836
119,236.216217041
120,300.837829590
121,322.918914795
122,346.972961426
123,240.756759644
124,371.783782959
125,189.594589233
126,300.729736328
127,288.216217041
128,378.729736328
129,176.621627808
130,353.189178467
131,239.351348877
132,265.594604492
133,246.270263672
134,312.108093262
135,287.621612549
136,310.756744385
137,317.081085205
138,208.972976685
139,224.918914795
140,271.648651123
141,278.729736328
142,309.837829590
143,287.675689697
144,411.189178467
145,366.675689697
146,257.351348877
147,277.081085205
148,212.000000000
149,355.459472656
150,215.783782959
151,276.162170410
152,158.810806274
153,258.567565918
154,273.675689697
155,330.297302246
156,320.405395508
157,228.540542603
158,242.837844849
159,274.540527344
160,276.648651123
161,220.108108521
162,261.000000000
163,391.459472656
164,995.378356934
165,2713.432373047
166,4387.000000000
167,6054.621582031
168,7352.297363281
169,8395.541015625
170,5929.729492188
171,3887.135253906
172,3184.540527344
173,1983.000000000
174,754.783813477
175,568.000000000
176,274.378387451
177,254.054046631
178,153.432434082
179,213.432434082
180,151.000000000
