[cm],Mean
0,1192.162109375
1,877.540527344
2,726.108093262
3,706.972961426
4,518.108093262
5,549.567565918
6,671.891906738
7,641.675659180
8,606.162170410
9,594.216186523
10,750.783813477
11,776.540527344
12,780.270263672
13,743.783813477
14,1093.054077148
15,882.864868164
16,1100.486450195
17,1092.000000000
18,1103.945922852
19,928.972961426
20,843.243225098
21,1178.135131836
22,1276.243286133
23,1089.837890625
24,915.324340820
25,717.081054688
26,953.486511230
27,771.783813477
28,917.243225098
29,753.297302246
30,665.972961426
31,631.162170410
32,567.972961426
33,632.405395508
34,627.378356934
35,833.594604492
36,875.945922852
37,779.000000000
38,621.945922852
39,887.675659180
40,1118.432373047
41,827.891906738
42,791.729736328
43,848.513488770
44,774.513488770
45,606.189208984
46,677.135131836
47,664.378356934
48,643.567565918
49,864.513488770
50,869.324340820
51,762.513488770
52,799.567565918
53,750.270263672
54,778.162170410
55,948.135131836
56,894.054077148
57,800.621643066
58,678.783813477
59,724.810791016
60,755.837829590
61,647.918945312
62,663.918945312
63,805.783813477
64,953.729736328
65,1081.702758789
66,873.918945312
67,832.675659180
68,928.351379395
69,951.540527344
70,737.540527344
71,650.297302246
72,784.432434082
73,891.972961426
74,832.702697754
75,678.108093262
76,817.864868164
77,565.081054688
78,554.864868164
79,677.675659180
80,626.054077148
81,624.270263672
82,936.918945312
83,871.567565918
84,1891.837890625
85,820.864868164
86,1368.945922852
87,1112.973022461
88,924.216186523
89,743.135131836
90,967.216186523
91,764.108093262
92,690.810791016
93,752.567565918
94,649.621643066
95,416.891906738
96,467.081085205
97,567.945922852
98,446.648651123
99,404.243255615
100,462.567565918
101,457.054046631
102,511.486480713
103,491.216217041
104,307.648651123
105,571.297302246
106,541.459472656
107,551.270263672
108,668.270263672
109,525.486511230
110,558.324340820
111,413.027038574
112,518.135131836
113,553.540527344
114,537.162170410
115,477.216217041
116,652.810791016
117,592.135131836
118,546.000000000
119,468.864868164
120,667.729736328
121,766.594604492
122,775.297302246
123,843.621643066
124,1045.810791016
125,1239.513549805
126,1178.081054688
127,1473.486450195
128,1245.891845703
129,1183.324340820
130,742.702697754
131,685.486511230
132,1212.675659180
133,933.405395508
134,609.162170410
135,548.567565918
136,604.054077148
137,558.810791016
138,838.837829590
139,639.648620605
140,684.162170410
141,817.810791016
142,688.837829590
143,540.729736328
144,478.594604492
145,592.027038574
146,466.783782959
147,434.378387451
148,396.486480713
149,591.864868164
150,512.351379395
151,576.054077148
152,573.081054688
153,710.891906738
154,758.918945312
155,756.135131836
156,590.378356934
157,613.810791016
158,800.702697754
159,727.189208984
160,513.459472656
161,464.729736328
162,369.540527344
163,717.027038574
164,550.459472656
165,702.459472656
166,584.216186523
167,1620.081054688
168,3068.486572266
169,4750.459472656
170,7401.162109375
171,9313.053710938
172,10649.189453125
173,12249.918945312
174,9754.108398438
175,7724.216308594
176,6401.054199219
177,3446.540527344
178,3170.378417969
179,793.756774902
180,767.675659180
181,839.081054688
182,889.216186523
183,764.783813477
