[cm],Mean
0,397.081085205
1,220.162155151
2,383.432434082
3,339.459472656
4,361.648651123
5,470.756744385
6,316.945953369
7,449.459472656
8,350.756744385
9,323.702697754
10,371.864868164
11,314.459472656
12,362.756744385
13,328.513519287
14,114.891891479
15,283.972961426
16,267.486480713
17,293.324310303
18,155.432434082
19,284.648651123
20,354.594604492
21,303.081085205
22,297.216217041
23,246.837844849
24,338.810821533
25,268.081085205
26,232.972976685
27,465.567565918
28,370.594604492
29,323.459472656
30,402.675689697
31,322.702697754
32,279.486480713
33,336.189178467
34,264.783782959
35,247.756759644
36,283.000000000
37,373.162170410
38,356.945953369
39,178.702697754
40,336.324310303
41,329.567565918
42,377.432434082
43,375.513519287
44,280.648651123
45,266.405395508
46,233.972976685
47,296.594604492
48,262.324310303
49,269.324310303
50,199.270263672
51,180.594589233
52,290.486480713
53,229.216217041
54,205.594589233
55,262.891906738
56,328.756744385
57,243.216217041
58,263.351348877
59,309.918914795
60,220.783782959
61,347.540527344
62,401.000000000
63,486.675689697
64,574.513488770
65,975.162170410
66,1006.297302246
67,814.027038574
68,825.459472656
69,876.567565918
70,779.378356934
71,656.297302246
72,443.081085205
73,357.756744385
74,504.972961426
75,325.837829590
76,458.378387451
77,336.135131836
78,432.918914795
79,271.918914795
80,353.135131836
81,264.675689697
82,490.108093262
83,272.216217041
84,294.567565918
85,339.135131836
86,269.810821533
87,345.783782959
88,351.405395508
89,435.216217041
90,301.648651123
91,399.432434082
92,424.945953369
93,461.837829590
94,486.405395508
95,364.135131836
96,396.243255615
97,381.621612549
98,294.729736328
99,334.756744385
100,338.054046631
101,423.270263672
102,390.864868164
103,378.135131836
104,375.810821533
105,374.189178467
106,399.810821533
107,467.972961426
108,460.459472656
109,462.702697754
110,473.405395508
111,603.459472656
112,432.540527344
113,374.459472656
114,410.108093262
115,331.027038574
116,389.486480713
117,415.864868164
118,330.783782959
119,503.054046631
120,462.513519287
121,471.324310303
122,528.459472656
123,562.621643066
124,465.054046631
125,608.378356934
126,503.000000000
127,598.270263672
128,479.783782959
129,519.972961426
130,596.270263672
131,586.810791016
132,355.459472656
133,390.459472656
134,386.270263672
135,377.540527344
136,366.432434082
137,484.027038574
138,477.702697754
139,329.567565918
140,389.270263672
141,583.162170410
142,527.000000000
143,485.729736328
144,442.000000000
145,494.567565918
146,439.216217041
147,503.432434082
148,413.621612549
149,418.918914795
150,407.324310303
151,472.405395508
152,457.972961426
153,376.513519287
154,352.378387451
155,478.783782959
156,423.972961426
157,457.837829590
158,402.243255615
159,472.459472656
160,536.702697754
161,413.486480713
162,389.621612549
163,360.972961426
164,615.972961426
165,1381.026977539
166,3423.270263672
167,5499.513671875
168,7534.026855469
169,8608.000000000
170,8898.405273438
171,8592.567382812
172,10487.837890625
173,8867.458984375
174,6499.459472656
175,5240.026855469
176,3153.540527344
177,1803.864868164
178,625.783813477
179,430.216217041
180,458.864868164
181,391.702697754
182,426.513519287
183,410.405395508
184,483.513519287
185,447.729736328
186,611.945922852
187,597.189208984
188,485.027038574
189,366.648651123
190,391.675689697
191,353.513519287
192,590.891906738
193,380.351348877
194,484.324310303
195,416.216217041
196,488.324310303
197,566.135131836
198,644.702697754
