[cm],Mean
0,147.351348877
1,129.243240356
2,159.918914795
3,246.648651123
4,183.081085205
5,120.837837219
6,132.405410767
7,131.405410767
8,145.837844849
9,171.621627808
10,166.891891479
11,251.837844849
12,159.756759644
13,178.594589233
14,186.351348877
15,150.297302246
16,198.891891479
17,238.864868164
18,210.135131836
19,181.027023315
20,117.810813904
21,153.729736328
22,229.135131836
23,158.324325562
24,144.378372192
25,177.972976685
26,221.243240356
27,214.864868164
28,231.837844849
29,327.567565918
30,272.000000000
31,374.243255615
32,319.108093262
33,151.594589233
34,195.351348877
35,203.891891479
36,276.486480713
37,313.729736328
38,327.945953369
39,315.378387451
40,302.810821533
41,319.054046631
42,342.189178467
43,270.810821533
44,383.621612549
45,428.432434082
46,401.648651123
47,491.567565918
48,496.243255615
49,429.162170410
50,208.135131836
51,543.783813477
52,368.351348877
53,474.216217041
54,530.675659180
55,520.891906738
56,340.270263672
57,674.972961426
58,559.621643066
59,590.540527344
60,518.486511230
61,686.405395508
62,760.540527344
63,550.486511230
64,499.378387451
65,661.621643066
66,629.135131836
67,557.135131836
68,614.135131836
69,564.135131836
70,654.918945312
71,532.540527344
72,619.594604492
73,540.594604492
74,774.918945312
75,578.054077148
76,804.216186523
77,523.756774902
78,603.594604492
79,706.297302246
80,543.513488770
81,647.810791016
82,729.216186523
83,694.756774902
84,827.405395508
85,800.837829590
86,655.756774902
87,738.513488770
88,729.675659180
89,799.108093262
90,744.918945312
91,787.648620605
92,836.675659180
93,785.540527344
94,818.243225098
95,837.621643066
96,770.000000000
97,875.648620605
98,994.783813477
99,917.000000000
100,1090.729736328
101,1185.864868164
102,1060.378417969
103,1015.135131836
104,970.081054688
105,1092.810791016
106,1045.081054688
107,995.918945312
108,991.972961426
109,781.675659180
110,1183.270263672
111,856.405395508
112,910.324340820
113,962.027038574
114,814.783813477
115,982.486511230
116,833.108093262
117,960.594604492
118,994.810791016
119,1084.081054688
120,937.405395508
121,1320.378417969
122,1167.837890625
123,1089.000000000
124,1052.891845703
125,904.162170410
126,1163.973022461
127,1157.973022461
128,952.378356934
129,1008.783813477
130,1042.108154297
131,1105.216186523
132,1013.378356934
133,1072.108154297
134,1004.594604492
135,981.459472656
136,1383.675659180
137,1277.540527344
138,1400.000000000
139,1320.351318359
140,1233.162109375
141,1070.756713867
142,1236.189208984
143,1207.026977539
144,1203.189208984
145,1190.756713867
146,1254.621582031
147,1186.783813477
148,1314.567626953
149,1228.216186523
150,1492.837890625
151,1287.918945312
152,1304.918945312
153,1412.270263672
154,1395.810791016
155,1449.756713867
156,1436.540527344
157,1260.783813477
158,1492.486450195
159,1538.297241211
160,1204.540527344
161,1601.459472656
162,1371.081054688
163,1642.540527344
164,1420.162109375
165,1540.405395508
166,1957.918945312
167,1969.891845703
168,1716.405395508
169,1590.486450195
170,1814.621582031
171,1692.270263672
172,1946.054077148
173,1342.756713867
174,1211.594604492
175,655.972961426
176,543.864868164
177,473.405395508
178,317.378387451
179,228.918914795
180,108.135131836
181,116.162162781
182,266.297302246
183,254.297302246
184,205.054046631
185,179.378372192
186,195.324325562
187,221.162155151
188,151.810806274
189,208.945953369
190,166.594589233
191,291.837829590
192,180.648651123
193,167.594589233
194,242.351348877
195,214.135131836
196,163.945953369
197,155.054046631
198,201.459457397
