 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_52,1480,388.164825439,209.082046509,12.196230570,1,1,YES,2,0,5542.819824219,34636.636718750,141.896183915,141.871663642
2,cell_53,1054,427.041656494,256.637725830,12.797528585,1,1,YES,2,0,3962.108886719,21982.199218750,101.429984938,90.039087773
3,cell_54,1218,441.047729492,475.588256836,14.100404104,1,1,YES,2,0,4551.534179688,26819.599609375,116.519272056,109.853079723
4,cell_55,1076,176.889633179,462.963409424,13.446180979,1,1,YES,2,0,3997.970458984,22314.634765625,102.348041164,91.400743769
