 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_56,695,143.510528564,139.405120850,8.405965805,1,1,YES,2,0,2608.178466797,11655.755859375,66.769367063,47.741975879
2,cell_57,1295,119.277221680,62.863880157,9.238897324,1,1,YES,2,0,4807.464355469,27198.150390625,123.071084391,111.403623719
3,cell_58,566,419.906524658,135.218963623,9.660526276,1,1,YES,2,0,2114.456298828,8587.872070312,54.130079883,35.175923911
4,cell_59,602,250.492523193,437.268005371,8.144669215,1,1,YES,2,0,2237.448974609,9293.388671875,57.278692303,38.065719904
