[cm],Mean
0,375.486480713
1,370.945953369
2,482.405395508
3,629.297302246
4,962.810791016
5,501.864868164
6,482.648651123
7,459.621612549
8,227.810806274
9,258.459472656
10,297.783782959
11,767.675659180
12,2948.540527344
13,5006.297363281
14,5826.918945312
15,7226.216308594
16,3351.837890625
17,2711.216308594
18,2061.756835938
19,837.324340820
20,580.432434082
21,706.189208984
22,481.729736328
23,558.864868164
24,533.891906738
