[cm],Mean
0,242.891891479
1,311.918914795
2,412.243255615
3,282.837829590
4,482.351348877
5,595.648620605
6,835.135131836
7,974.108093262
8,1203.540527344
9,1220.567626953
10,2115.162109375
11,2839.027099609
12,3357.324218750
13,3161.594482422
14,3440.053955078
15,1755.378417969
16,768.702697754
17,437.891906738
18,323.783782959
19,345.783782959
20,283.297302246
