,Time (s),FI (a.u.)
0,0.0,0.01159090220357202
1,1.1936,0.004473067364746808
2,2.3872,0.0019050700163117135
3,3.5808,0.06687276013919033
4,4.7744,0.08077347158547095
5,5.968,0.03704763323527804
6,7.1616,0.1609677514569775
7,8.3552,0.117765278448854
8,9.5488,0.13629957088305064
9,10.7424,0.23391858124337006
10,11.936,0.3000516439247937
11,13.1296,0.45344098706502917
12,14.3232,0.6874642240419478
13,15.5168,0.8270086899874226
14,16.7104,0.861027776035224
15,17.904,1.0
16,19.0976,0.7642392036406968
17,20.2912,0.3693737674171215
18,21.4848,0.16244714637251095
19,22.6784,0.05380246302008492
20,23.872,0.04759877812659389
21,25.0656,0.029434342300647492
22,26.2592,0.018673846544883757
23,27.4528,0.013991428315689065
24,28.6464,0.0
