[cm],Mean
0,242.675674438
1,252.486480713
2,297.459472656
3,336.081085205
4,305.270263672
5,291.081085205
6,340.918914795
7,330.918914795
8,1078.918945312
9,1137.648681641
10,3129.135253906
11,4444.432617188
12,5083.188964844
13,6454.270507812
14,4314.811035156
15,3258.648681641
16,2118.216308594
17,1601.054077148
18,446.756744385
19,698.594604492
20,1202.567626953
