[cm],Mean
0,308.081085205
1,220.324325562
2,323.162170410
3,340.297302246
4,476.054046631
5,642.054077148
6,1026.216186523
7,1771.324340820
8,2777.216308594
9,3725.702636719
10,4068.540527344
11,3313.000000000
12,1958.297241211
13,1075.270263672
14,229.945953369
15,174.594589233
16,332.972961426
17,337.540527344
18,416.864868164
19,282.783782959
20,289.162170410
