,Time (s),FI (a.u.)
0,2.3872,0.0
1,3.5808,0.001579434354328451
2,4.7744,0.008819602644340967
3,5.968,0.015037267122631096
4,7.1616,0.010077056040050833
5,8.3552,0.007792750825750059
6,9.5488,0.015816105684993052
7,10.7424,0.014206213174575044
8,11.936,0.13462617786675107
9,13.1296,0.14408103413223922
10,14.3232,0.46468896586098474
11,15.5168,0.6764377032730094
12,16.7104,0.7792706092803451
13,17.904,1.0
14,19.0976,0.6555700218628243
15,20.2912,0.4855392355918989
16,21.4848,0.30194188199123867
17,22.6784,0.21868432168364066
18,23.872,0.032854858602576906
19,25.0656,0.07339804708517265
20,26.2592,0.1545322865164417
