[cm],Mean
0,399.108093262
1,391.216217041
2,432.810821533
3,490.216217041
4,379.486480713
5,750.864868164
6,913.216186523
7,1186.162109375
8,1869.243286133
9,2365.972900391
10,3274.783691406
11,3123.675781250
12,2676.540527344
13,2702.972900391
14,1679.378417969
15,1279.702758789
16,518.513488770
17,500.702697754
18,660.918945312
19,588.189208984
20,604.783813477
21,614.945922852
22,431.432434082
23,339.891906738
24,446.891906738
25,304.054046631
