[cm],Mean
0,374.864868164
1,410.000000000
2,393.432434082
3,433.783782959
4,391.351348877
5,337.486480713
6,381.243255615
7,394.486480713
8,336.918914795
9,497.243255615
10,351.702697754
11,330.000000000
12,314.891906738
13,184.972976685
14,418.027038574
15,353.540527344
16,289.891906738
17,291.945953369
18,325.216217041
19,407.729736328
20,345.405395508
21,305.648651123
22,305.567565918
23,354.486480713
24,387.567565918
25,359.297302246
26,310.405395508
27,414.810821533
28,488.486480713
29,429.054046631
30,348.216217041
31,300.675689697
32,453.351348877
33,448.378387451
34,281.783782959
35,408.945953369
36,412.729736328
37,486.567565918
38,308.243255615
39,471.324310303
40,423.270263672
41,249.054046631
42,237.513519287
43,163.972976685
44,246.945953369
45,433.486480713
46,303.621612549
47,290.540527344
48,504.270263672
49,364.027038574
50,431.972961426
51,431.702697754
52,301.513519287
53,463.405395508
54,310.135131836
55,442.783782959
56,496.297302246
57,357.216217041
58,267.594604492
59,419.270263672
60,433.108093262
61,292.783782959
62,416.972961426
63,334.756744385
64,489.081085205
65,496.135131836
66,638.378356934
67,781.756774902
68,396.270263672
69,430.810821533
70,347.378387451
71,419.243255615
72,409.513519287
73,650.378356934
74,668.162170410
75,931.675659180
76,631.189208984
77,798.918945312
78,350.054046631
79,550.081054688
80,788.459472656
81,590.000000000
82,751.297302246
83,354.783782959
84,759.648620605
85,554.189208984
86,624.108093262
87,925.729736328
88,806.729736328
89,537.567565918
90,606.810791016
91,617.783813477
92,443.486480713
93,581.729736328
94,637.567565918
95,674.945922852
96,573.108093262
97,492.432434082
98,766.459472656
99,665.351379395
100,788.702697754
101,645.189208984
102,674.945922852
103,793.972961426
104,973.729736328
105,919.648620605
106,870.243225098
107,851.378356934
108,616.081054688
109,945.540527344
110,994.648620605
111,787.297302246
112,901.810791016
113,824.054077148
114,1055.243286133
115,929.567565918
116,932.081054688
117,1118.026977539
118,923.054077148
119,924.594604492
120,1148.864868164
121,1063.054077148
122,1027.297241211
123,1111.405395508
124,989.486511230
125,1270.216186523
126,755.351379395
127,1022.000000000
128,970.216186523
129,1169.675659180
130,1261.405395508
131,967.729736328
132,1082.162109375
133,1146.918945312
134,1130.243286133
135,1175.513549805
136,1077.513549805
137,1402.216186523
138,1268.918945312
139,1199.729736328
140,1089.162109375
141,1033.486450195
142,1253.567626953
143,1264.837890625
144,1130.432373047
145,1160.162109375
146,1274.567626953
147,1199.189208984
148,1308.594604492
149,1192.324340820
150,1347.594604492
151,1326.108154297
152,1571.351318359
153,1223.594604492
154,1466.486450195
155,1277.783813477
156,1342.324340820
157,1239.837890625
158,1624.081054688
159,1237.405395508
160,1175.135131836
161,1447.486450195
162,1400.513549805
163,1632.540527344
164,1642.189208984
165,1511.432373047
166,1502.513549805
167,1576.783813477
168,1286.405395508
169,1079.081054688
170,1223.000000000
171,1248.729736328
172,880.918945312
173,1250.675659180
174,1407.459472656
175,1265.729736328
176,1357.459472656
177,1450.405395508
178,1306.675659180
179,1519.459472656
180,1298.081054688
181,1172.270263672
182,1054.108154297
183,1599.567626953
184,1550.648681641
185,1318.973022461
186,1452.756713867
187,1328.918945312
188,1269.675659180
189,1283.324340820
190,1224.216186523
191,1433.540527344
192,1498.648681641
193,1551.864868164
194,1881.026977539
195,2234.513427734
196,3061.000000000
197,3545.810791016
198,4434.351562500
199,3873.000000000
200,4032.729736328
201,4188.702636719
202,3727.891845703
203,3618.027099609
204,2636.918945312
205,2398.756835938
206,2408.783691406
207,1367.864868164
208,848.540527344
209,855.702697754
210,567.108093262
211,608.972961426
212,448.621612549
213,419.891906738
214,183.297302246
215,335.297302246
216,295.702697754
217,261.513519287
218,402.189178467
219,314.540527344
220,279.216217041
221,341.918914795
222,444.351348877
223,449.594604492
224,303.189178467
225,341.648651123
226,380.675689697
227,425.891906738
228,353.621612549
229,384.891906738
230,228.405410767
