[cm],Mean
0,116.243240356
1,182.783782959
2,261.216217041
3,212.027023315
4,147.864868164
5,125.918922424
6,161.837844849
7,185.810806274
8,200.891891479
9,231.810806274
10,223.513519287
11,204.513519287
12,247.540542603
13,313.243255615
14,162.432434082
15,218.378372192
16,184.459457397
17,178.864868164
18,259.162170410
19,326.162170410
20,302.486480713
21,263.459472656
22,358.729736328
23,202.486480713
24,200.405410767
25,289.297302246
26,325.918914795
27,229.540542603
28,178.351348877
29,200.891891479
30,198.000000000
31,205.027023315
32,207.513519287
33,202.864868164
34,280.702697754
35,218.000000000
36,270.513519287
37,267.270263672
38,279.891906738
39,161.756759644
40,271.945953369
41,167.378372192
42,176.324325562
43,184.972976685
44,120.810813904
45,201.729736328
46,154.378372192
47,267.486480713
48,317.945953369
49,212.540542603
50,357.540527344
51,138.162155151
52,268.270263672
53,167.081085205
54,178.270263672
55,307.216217041
56,320.729736328
57,231.378372192
58,366.486480713
59,377.027038574
60,218.675674438
61,242.216217041
62,267.810821533
63,205.162155151
64,448.270263672
65,369.108093262
66,343.486480713
67,292.027038574
68,510.756744385
69,246.621627808
70,329.702697754
71,392.513519287
72,409.216217041
73,412.162170410
74,372.351348877
75,500.864868164
76,413.243255615
77,578.837829590
78,369.810821533
79,423.432434082
80,474.351348877
81,584.837829590
82,387.513519287
83,475.081085205
84,631.432434082
85,510.351348877
86,631.729736328
87,634.810791016
88,667.459472656
89,557.513488770
90,708.270263672
91,646.972961426
92,539.594604492
93,718.513488770
94,401.621612549
95,500.729736328
96,516.945922852
97,589.486511230
98,519.216186523
99,552.810791016
100,627.027038574
101,435.540527344
102,531.567565918
103,787.297302246
104,765.432434082
105,556.810791016
106,471.351348877
107,501.918914795
108,685.189208984
109,841.135131836
110,718.378356934
111,630.675659180
112,705.108093262
113,689.135131836
114,616.459472656
115,524.594604492
116,789.162170410
117,726.864868164
118,757.108093262
119,840.594604492
120,630.162170410
121,461.297302246
122,829.351379395
123,854.378356934
124,580.189208984
125,618.162170410
126,827.810791016
127,588.810791016
128,764.081054688
129,716.270263672
130,743.459472656
131,892.756774902
132,602.378356934
133,956.567565918
134,789.405395508
135,681.648620605
136,819.270263672
137,670.486511230
138,856.432434082
139,717.594604492
140,970.864868164
141,664.081054688
142,753.729736328
143,908.324340820
144,872.567565918
145,809.324340820
146,789.459472656
147,772.405395508
148,914.513488770
149,744.243225098
150,809.054077148
151,948.594604492
152,711.189208984
153,821.540527344
154,773.000000000
155,892.621643066
156,920.189208984
157,608.702697754
158,747.756774902
159,773.189208984
160,977.864868164
161,797.081054688
162,872.135131836
163,941.945922852
164,715.459472656
165,857.810791016
166,764.486511230
167,789.216186523
168,910.918945312
169,854.945922852
170,929.486511230
171,949.864868164
172,775.837829590
173,663.135131836
174,750.594604492
175,972.864868164
176,988.162170410
177,831.000000000
178,833.621643066
179,691.270263672
180,667.918945312
181,748.351379395
182,956.000000000
183,661.729736328
184,713.513488770
185,852.108093262
186,776.081054688
187,826.675659180
188,872.513488770
189,728.162170410
190,790.216186523
191,580.135131836
192,788.945922852
193,741.513488770
194,744.351379395
195,834.810791016
196,929.189208984
197,690.054077148
198,921.540527344
199,1023.540527344
200,727.270263672
201,691.135131836
202,902.648620605
203,842.648620605
204,681.945922852
205,890.648620605
206,1013.864868164
207,922.513488770
208,891.270263672
209,923.297302246
210,819.000000000
211,644.378356934
212,770.702697754
213,779.729736328
214,674.864868164
215,1011.000000000
216,1028.243286133
217,869.297302246
218,715.945922852
219,781.864868164
220,886.351379395
221,830.864868164
222,689.783813477
223,833.729736328
224,938.729736328
225,1000.891906738
226,894.270263672
227,1108.162109375
228,928.837829590
229,935.405395508
230,1229.540527344
231,1138.081054688
232,1056.026977539
233,1083.810791016
234,968.297302246
235,947.756774902
236,957.810791016
237,980.108093262
238,1093.702758789
239,931.081054688
240,1131.810791016
241,858.810791016
242,1027.675659180
243,1150.486450195
244,1169.243286133
245,1052.783813477
246,745.378356934
247,922.540527344
248,932.108093262
249,841.324340820
250,1173.567626953
251,1081.837890625
252,1176.243286133
253,1065.810791016
254,915.378356934
255,1157.216186523
256,822.891906738
257,1076.108154297
258,958.108093262
259,1100.837890625
260,1206.216186523
261,1254.702758789
262,855.810791016
263,922.729736328
264,966.972961426
265,928.891906738
266,1266.405395508
267,807.729736328
268,1185.459472656
269,1069.026977539
270,1102.675659180
271,1080.648681641
272,1372.486450195
273,1000.648620605
274,1125.270263672
275,1226.405395508
276,1189.297241211
277,1220.297241211
278,1080.135131836
279,1263.026977539
280,1119.297241211
281,1084.918945312
282,949.621643066
283,1091.621582031
284,1243.513549805
285,1416.351318359
286,1203.513549805
287,1217.945922852
288,1116.216186523
289,918.027038574
290,1300.540527344
291,1558.000000000
292,2011.135131836
293,2160.891845703
294,2063.378417969
295,3232.675781250
296,2836.946044922
297,3123.648681641
298,3460.891845703
299,3263.972900391
300,2988.053955078
301,3030.621582031
302,2686.864746094
303,2430.135253906
304,1237.026977539
305,438.351348877
306,353.675689697
307,452.567565918
