[cm],Mean
0,223.540542603
1,475.621612549
2,533.594604492
3,326.513519287
4,279.513519287
5,313.972961426
6,394.027038574
7,442.702697754
8,329.432434082
9,368.270263672
10,337.567565918
11,366.972961426
12,346.081085205
13,485.783782959
14,301.486480713
15,412.486480713
16,389.675689697
17,370.972961426
18,397.702697754
19,379.540527344
20,252.189193726
21,413.702697754
22,718.648620605
23,373.405395508
24,677.891906738
25,458.675689697
26,365.783782959
27,405.675689697
28,574.864868164
29,630.567565918
30,732.135131836
31,634.675659180
32,314.324310303
33,572.486511230
34,440.000000000
35,576.324340820
36,515.567565918
37,550.162170410
38,414.891906738
39,483.621612549
40,462.702697754
41,529.108093262
42,349.351348877
43,567.918945312
44,311.945953369
45,359.972961426
46,609.972961426
47,720.540527344
48,707.783813477
49,505.189178467
50,683.243225098
51,402.324310303
52,564.297302246
53,417.189178467
54,436.729736328
55,432.756744385
56,500.621612549
57,716.270263672
58,440.675689697
59,516.135131836
60,511.486480713
61,509.378387451
62,479.081085205
63,764.189208984
64,491.405395508
65,689.000000000
66,432.918914795
67,476.567565918
68,475.810821533
69,472.621612549
70,661.810791016
71,377.189178467
72,395.567565918
73,638.972961426
74,312.621612549
75,578.810791016
76,437.702697754
77,343.027038574
78,427.135131836
79,540.324340820
80,586.405395508
81,442.378387451
82,592.513488770
83,565.000000000
84,440.081085205
85,534.675659180
86,398.594604492
87,615.135131836
88,491.540527344
89,630.945922852
90,538.837829590
91,612.432434082
92,404.081085205
93,584.945922852
94,674.945922852
95,829.675659180
96,677.189208984
97,536.567565918
98,650.378356934
99,630.675659180
100,631.432434082
101,862.027038574
102,558.729736328
103,641.000000000
104,456.513519287
105,679.081054688
106,802.000000000
107,806.837829590
108,586.324340820
109,612.000000000
110,760.756774902
111,791.837829590
112,663.945922852
113,901.675659180
114,703.972961426
115,816.702697754
116,720.540527344
117,856.216186523
118,554.783813477
119,1019.108093262
120,955.459472656
121,904.621643066
122,925.756774902
123,916.000000000
124,822.810791016
125,873.702697754
126,1012.783813477
127,868.756774902
128,986.081054688
129,699.216186523
130,1160.945922852
131,965.243225098
132,875.594604492
133,683.594604492
134,933.162170410
135,811.594604492
136,973.837829590
