[cm],Mean
0,112.405403137
1,80.405403137
2,161.432434082
3,175.837844849
4,103.378379822
5,115.216217041
6,202.270263672
7,147.567565918
8,140.189193726
9,171.108108521
10,147.702697754
11,168.243240356
12,161.378372192
13,222.729736328
14,195.324325562
15,145.324325562
16,249.783782959
17,93.216217041
18,141.108108521
19,107.702705383
20,149.837844849
21,151.567565918
22,165.000000000
23,169.864868164
24,151.405410767
25,153.351348877
26,203.729736328
27,135.054046631
28,167.270263672
29,155.756759644
30,118.459457397
31,149.675674438
32,154.297302246
33,180.459457397
34,153.756759644
35,169.027023315
36,143.027023315
37,155.405410767
38,109.891891479
39,140.675674438
40,185.216217041
41,162.675674438
42,130.000000000
43,226.783782959
44,163.810806274
45,167.054046631
46,185.189193726
47,152.162155151
48,152.459457397
49,96.891891479
50,111.054054260
51,140.675674438
52,188.432434082
53,154.756759644
54,149.837844849
55,157.567565918
56,153.918914795
57,117.405403137
58,119.000000000
59,107.486488342
60,218.054046631
61,172.081085205
62,139.648651123
63,116.297294617
64,136.621627808
65,169.405410767
66,159.837844849
67,106.054054260
68,228.243240356
69,168.702697754
70,160.432434082
71,103.486488342
72,141.027023315
73,156.054046631
74,124.567565918
75,155.864868164
76,177.216217041
77,114.243240356
78,207.918914795
79,195.000000000
80,148.864868164
81,213.621627808
82,167.810806274
83,156.729736328
84,141.108108521
85,183.729736328
86,189.675674438
87,132.567565918
88,209.324325562
89,186.351348877
90,100.270271301
91,164.270263672
92,136.000000000
93,156.621627808
94,110.864868164
95,191.135131836
96,165.864868164
97,196.513519287
98,154.216217041
99,197.216217041
100,138.621627808
101,162.432434082
102,206.000000000
103,179.432434082
104,174.756759644
105,146.216217041
106,228.459457397
107,232.324325562
108,167.567565918
109,204.864868164
110,275.918914795
111,196.108108521
112,180.432434082
113,155.783782959
114,251.513519287
115,174.729736328
116,179.486480713
117,163.594589233
118,115.648651123
119,164.027023315
120,225.324325562
121,205.054046631
122,164.891891479
123,178.027023315
124,255.837844849
125,160.648651123
126,136.486480713
127,151.621627808
128,203.189193726
129,154.297302246
130,173.675674438
131,167.108108521
132,180.378372192
133,205.027023315
134,182.972976685
135,165.972976685
136,216.054046631
137,180.000000000
138,167.459457397
139,180.486480713
140,143.054046631
141,178.702697754
142,118.810813904
143,158.945953369
144,159.108108521
145,202.000000000
146,183.837844849
147,231.837844849
148,221.567565918
149,156.621627808
150,101.594596863
151,184.324325562
152,186.486480713
153,222.918914795
154,161.108108521
155,278.756744385
156,242.162155151
157,207.594589233
158,172.837844849
159,157.945953369
160,236.891891479
161,169.702697754
162,126.486488342
163,171.972976685
164,151.027023315
165,188.675674438
166,179.864868164
167,249.540542603
168,223.621627808
169,112.297294617
170,276.972961426
171,236.594589233
172,222.621627808
173,271.972961426
174,209.891891479
175,185.864868164
176,204.135131836
177,179.270263672
178,174.135131836
179,185.864868164
180,201.324325562
181,215.972976685
182,264.270263672
183,147.081085205
184,178.405410767
185,190.918914795
186,185.837844849
187,235.918914795
188,212.864868164
189,241.621627808
190,203.675674438
191,174.405410767
192,249.027023315
193,256.324310303
194,143.945953369
195,287.702697754
196,272.972961426
197,206.972976685
198,198.972976685
199,205.675674438
200,236.486480713
201,167.243240356
202,191.945953369
203,254.756759644
204,210.432434082
205,201.702697754
206,235.972976685
207,180.540542603
208,222.783782959
209,222.432434082
210,206.135131836
211,222.054046631
212,243.756759644
213,209.108108521
214,170.810806274
215,251.162155151
216,167.540542603
217,189.486480713
218,223.702697754
219,230.513519287
220,173.189193726
221,254.648651123
222,140.675674438
223,196.513519287
224,271.000000000
225,235.432434082
226,211.216217041
227,261.891906738
228,268.405395508
229,194.216217041
230,289.054046631
231,167.189193726
232,229.270263672
233,202.297302246
234,305.486480713
235,421.621612549
236,389.864868164
237,850.621643066
238,1208.216186523
239,1847.945922852
240,2835.027099609
241,3296.567626953
242,4522.026855469
243,4853.351562500
244,5571.675781250
245,5919.486328125
246,4981.324218750
247,4576.243164062
248,3894.594482422
249,2439.243164062
250,1781.054077148
251,959.351379395
252,618.864868164
253,463.918914795
254,292.972961426
255,172.081085205
256,228.972976685
257,293.162170410
258,326.486480713
259,267.810821533
260,289.810821533
261,266.162170410
262,215.027023315
263,228.945953369
264,311.486480713
265,285.918914795
266,241.945953369
267,183.270263672
268,210.459457397
269,328.945953369
270,299.054046631
271,226.459457397
272,308.216217041
273,272.027038574
274,281.702697754
275,246.540542603
276,230.513519287
277,295.081085205
278,239.027023315
279,194.729736328
280,252.324325562
