[cm],Mean
0,464.054046631
1,375.891906738
2,284.621612549
3,225.675674438
4,427.324310303
5,250.297302246
6,573.702697754
7,275.027038574
8,317.351348877
9,351.513519287
10,259.702697754
11,309.486480713
12,312.810821533
13,209.702697754
14,406.756744385
15,194.729736328
16,294.945953369
17,356.108093262
18,288.918914795
19,151.027023315
20,248.540542603
21,245.297302246
22,254.135131836
23,267.297302246
24,354.270263672
25,445.621612549
26,242.972976685
27,315.540527344
28,342.540527344
29,359.216217041
30,255.621627808
31,332.756744385
32,399.864868164
33,282.324310303
34,789.783813477
35,1226.135131836
36,2326.918945312
37,3145.324218750
38,4245.675781250
39,4035.189208984
40,3619.594482422
41,2115.081054688
42,1628.351318359
43,286.756744385
44,353.189178467
45,286.837829590
46,313.918914795
47,370.972961426
48,378.783782959
49,424.135131836
50,334.648651123
51,357.729736328
52,379.081085205
53,317.621612549
54,282.135131836
55,353.189178467
