[cm],Mean
0,222.756759644
1,297.000000000
2,303.324310303
3,276.135131836
4,229.810806274
5,250.702697754
6,224.351348877
7,276.054046631
8,279.459472656
9,225.540542603
10,316.432434082
11,245.864868164
12,224.918914795
13,284.324310303
14,223.783782959
15,248.189193726
16,293.108093262
17,237.162155151
18,289.783782959
19,276.270263672
20,237.864868164
21,256.918914795
22,176.486480713
23,186.810806274
24,217.864868164
25,194.756759644
26,290.810821533
27,257.540527344
28,245.000000000
29,293.918914795
30,295.216217041
31,187.162155151
32,203.783782959
33,213.945953369
34,267.162170410
35,214.081085205
36,291.810821533
37,317.540527344
38,230.918914795
39,198.702697754
40,366.054046631
41,192.702697754
42,239.621627808
43,315.918914795
44,198.513519287
45,244.864868164
46,286.648651123
47,255.972976685
48,215.216217041
49,302.675689697
50,284.162170410
51,290.135131836
52,339.216217041
53,276.891906738
54,320.540527344
55,262.216217041
56,253.000000000
57,335.135131836
58,679.621643066
59,1382.810791016
60,2669.378417969
61,2737.594482422
62,2764.486572266
63,2952.864746094
64,2977.540527344
65,2553.918945312
66,1350.324340820
67,566.162170410
68,256.918914795
69,267.027038574
70,275.270263672
71,364.378387451
72,324.054046631
73,272.729736328
74,259.756744385
75,239.675674438
