[cm],Mean
0,232.432434082
1,217.837844849
2,253.432434082
3,176.864868164
4,216.513519287
5,197.054046631
6,311.189178467
7,238.621627808
8,143.432434082
9,143.675674438
10,215.000000000
11,222.810806274
12,116.135131836
13,187.351348877
14,183.270263672
15,200.594589233
16,270.621612549
17,387.081085205
18,635.027038574
19,707.432434082
20,594.594604492
21,506.108093262
22,1067.270263672
23,1036.540527344
24,1098.702758789
25,1279.108154297
26,1234.189208984
27,1705.702758789
28,1636.756713867
29,1464.243286133
30,1637.486450195
31,1506.324340820
32,1406.459472656
33,1652.891845703
34,1872.378417969
35,1826.756713867
36,2124.864746094
37,2393.351318359
38,2178.513427734
39,1790.216186523
40,1801.026977539
41,799.324340820
42,340.162170410
43,273.513519287
44,287.243255615
45,203.189193726
46,275.324310303
47,192.675674438
48,184.810806274
49,175.378372192
50,227.216217041
51,249.270263672
52,155.891891479
53,262.027038574
54,251.405410767
55,155.567565918
