[cm],Mean
0,271.702697754
1,298.972961426
2,293.837829590
3,270.405395508
4,258.675689697
5,300.081085205
6,333.216217041
7,288.891906738
8,204.324325562
9,237.810806274
10,259.486480713
11,221.000000000
12,304.135131836
13,218.270263672
14,272.864868164
15,734.162170410
16,234.324325562
17,239.810806274
18,282.108093262
19,326.675689697
20,546.675659180
21,207.135131836
22,341.540527344
23,350.540527344
24,331.081085205
25,382.513519287
26,193.675674438
27,280.486480713
28,205.297302246
29,331.864868164
30,501.972961426
31,1228.216186523
32,2162.837890625
33,2479.270263672
34,2751.053955078
35,2468.675781250
36,1949.297241211
37,1562.810791016
38,1145.675659180
39,634.567565918
40,366.621612549
41,309.864868164
42,181.108108521
43,339.000000000
44,331.000000000
45,308.945953369
